# Optical absorption spectrum of Rhodamine B in ethanol
#
# Data from PhotochemCAD 2.1a has been munged on 26 February 2012 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by R.-C. A. Fuh on 06-20-1995 using a Cary 3.  
# The absorption values were collected using a spectral bandwidth of 1.0 nm, a signal averaging time of 0.133 sec, a data interval of 0.25 nm, and a scan rate of 112.5 nm/min.
#
# These measurements were scaled to make the molar extinction coefficient match
# the value of 106000 cm-1/M at 542.8 nm.  These values were 
# then interpolated to report extinction coefficients at regular 1nm intervals
#
# The reported molar extinction coefficient is from
# Eastman Laboratory Chemicals Catalog No. 55 (1993-94), Fisher Scientific.
#
##Wavelength (nm)	Molar Extinction (cm-1/M) 
219.74	27036
219.99	26547
220.24	27068
220.49	27131
220.74	27137
220.99	27388
221.24	27227
221.49	27401
221.74	27542
221.99	27680
222.24	27793
222.49	28065
222.74	27931
222.99	27744
223.24	27628
223.49	28027
223.74	28276
223.99	28226
224.24	28354
224.49	28455
224.74	28236
224.99	28403
225.24	28220
225.49	28522
225.74	28281
225.99	28274
226.24	28195
226.49	28382
226.74	28450
226.99	28187
227.24	28129
227.49	28291
227.74	27741
227.99	28208
228.24	27906
228.49	27832
228.74	27867
228.99	27891
229.24	27550
229.49	27653
229.74	27558
229.99	27546
230.24	27568
230.49	27683
230.74	27552
230.99	27532
231.24	27565
231.49	27481
231.74	27169
231.99	27399
232.24	27559
232.49	27406
232.74	27468
232.99	27427
233.24	27432
233.49	27524
233.74	27459
233.99	27741
234.24	27830
234.49	27770
234.74	27943
234.99	27735
235.24	27748
235.49	27828
235.74	28041
235.99	28459
236.24	28398
236.49	28228
236.74	28223
236.99	28214
237.24	28337
237.49	28109
237.74	27943
237.99	27851
238.24	27809
238.49	27642
238.74	27542
238.99	27406
239.24	27210
239.49	26892
239.74	26642
239.99	26652
240.24	26302
240.49	25938
240.74	25674
240.99	25401
241.24	24927
241.49	24710
241.74	24297
241.99	24135
242.24	23395
242.49	23214
242.74	22821
242.99	22754
243.24	22645
243.49	22715
243.74	22684
243.99	22736
244.24	22728
244.49	22685
244.74	22708
244.99	22847
245.24	22904
245.49	23145
245.74	23114
245.99	23246
246.24	23445
246.49	23420
246.74	23496
246.99	23602
247.24	23615
247.49	23481
247.74	23390
247.99	23254
248.24	23006
248.49	23200
248.74	23304
248.99	23770
249.24	24164
249.49	24839
249.74	25226
249.99	25781
250.24	25924
250.49	26216
